tax_id,Order,MSWFamilyLatin,Scientific,MSW3_ID,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,Diet.Source,Diet.Certainty,ForStrat.Value,ForStrat.Certainty,ForStrat.Comment,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,Activity.Source,Activity.Certainty,BodyMass.Value,BodyMass.Source,BodyMass.SpecLevel
16737,Rodentia,Sciuridae,Petinomys lugens,924,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,433,Ref_117,1
16738,Rodentia,Sciuridae,Petinomys sagitta,922,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,50,Ref_117,1
16739,Rodentia,Sciuridae,Petinomys setosus,921,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,38.44,Ref_117,1
16740,Rodentia,Sciuridae,Petinomys vordermanni,920,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,Ar,A,,1,0,0,Ref_1,ABC,40.39,Ref_117,1
16744,Diprotodontia,Macropodidae,Petrogale burbidgei,302,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,1258,Ref_117,1
16746,Diprotodontia,Macropodidae,Petrogale penicillata,315,0,0,0,0,0,0,20,0,10,70,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,7100,Ref_117,1
16747,Diprotodontia,Macropodidae,Petrogale persephone,313,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,6200,Ref_117,1
16750,Diprotodontia,Macropodidae,Petrogale xanthopus,306,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,8500,Ref_117,1
16751,Diprotodontia,Macropodidae,Petrogale lateralis,310,0,0,0,0,0,0,0,0,0,100,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,4625,Ref_117,1
16752,Diprotodontia,Macropodidae,Petrogale coenensis,301,0,0,0,0,0,0,10,0,0,90,Ref_2,D1,G,A,,1,0,0,Ref_1,ABC,4123.14,"Ref_2, Ref_3",0
16753,Diprotodontia,Macropodidae,Petrogale sharmani,307,0,0,0,0,0,0,0,0,0,100,Ref_2,D1,G,A,,1,0,0,Ref_1,ABC,4123.14,"Ref_2, Ref_3",0
16761,Diprotodontia,Macropodidae,Petrogale concinna,312,0,0,0,0,0,0,0,0,0,100,Ref_37,ABC,G,A,,1,0,0,Ref_1,ABC,1400,Ref_117,1
16776,Rodentia,Petromuridae,Petromus typicus,2864,0,0,0,0,0,0,30,0,30,40,Ref_1,ABC,G,A,,0,1,1,Ref_1,ABC,224,Ref_117,1
16777,Rodentia,Nesomyidae,Petromyscus barbouri,1328,50,0,0,0,0,0,0,0,30,20,Ref_1,ABC,G,A,,1,0,0,Ref_1,ABC,21.49,Ref_178,2
