"speciesname","class","order","family","freq","env.var","corr.coeff","z.cor.yi","z.cor.vi","Species_ph","SPID"
"Marmota monax","mammal","Rodentia","Sciuridae",28,"npp",0.0839781622514376,0.0841764157726756,0.04,"Marmota_monax","SP212"
"Martes americana","mammal","Carnivora","Mustelidae",139,"npp",-0.318717180726829,-0.330218595182551,0.00735294117647059,"Martes_americana","SP213"
"Martes pennanti","mammal","Carnivora","Mustelidae",21,"npp",-0.143282451085056,-0.144275231999779,0.0555555555555556,"Martes_pennanti","SP214"
"Mastomys natalensis","mammal","Rodentia","Muridae",20,"npp",0.647425256436822,0.770853129613336,0.0588235294117647,"Mastomys_natalensis","SP215"
"Megaderma spasma","mammal","Chiroptera","Megadermatidae",11,"npp",0.158607719671156,0.159958162624889,0.125,"Megaderma_spasma","SP216"
"Megaerops wetmorei","mammal","Chiroptera","Pteropodidae",5,"npp",0.238707388500486,0.243402946554541,0.5,"Megaerops_wetmorei","SP217"
"Melanomys caliginosus","mammal","Rodentia","Cricetidae",9,"npp",0.00250289114473158,0.00250289637117507,0.166666666666667,"Melanomys_caliginosus","SP218"
"Melomys rufescens","mammal","Rodentia","Muridae",5,"npp",0.460986626331123,0.498563437664264,0.5,"Melomys_rufescens","SP219"
"Mephitis mephitis","mammal","Carnivora","Mephitidae",16,"npp",0.240789901764794,0.245612462490861,0.0769230769230769,"Mephitis_mephitis","SP220"
"Meriones meridianus","mammal","Rodentia","Muridae",23,"npp",0.554203106242816,0.624427384126122,0.05,"Meriones_meridianus","SP221"
"Meriones tamariscinus","mammal","Rodentia","Muridae",5,"npp",-0.724208792855537,-0.916439734929534,0.5,"Meriones_tamariscinus","SP222"
"Meriones unguiculatus","mammal","Rodentia","Muridae",20,"npp",-0.120078212823742,-0.120660384707864,0.0588235294117647,"Meriones_unguiculatus","SP223"
"Mesophylla macconnelli","mammal","Chiroptera","Phyllostomidae",7,"npp",0.476695203700314,0.518698910332744,0.25,"Mesophylla_macconnelli","SP224"
"Metachirus nudicaudatus","mammal","Didelphimorphia","Didelphidae",8,"npp",-0.77620873920531,-1.03576135202065,0.2,"Metachirus_nudicaudatus","SP225"
"Micaelamys namaquensis","mammal","Rodentia","Muridae",22,"npp",0.316537714952795,0.32779457546711,0.0526315789473684,"Micaelamys_namaquensis","SP226"
"Microdipodops megacephalus","mammal","Rodentia","Heteromyidae",53,"npp",-0.141638694020836,-0.142597423375735,0.02,"Microdipodops_megacephalus","SP227"
"Microdipodops pallidus","mammal","Rodentia","Heteromyidae",31,"npp",-0.0542089190243552,-0.0542621124124362,0.0357142857142857,"Microdipodops_pallidus","SP228"
"Micronycteris megalotis","mammal","Chiroptera","Phyllostomidae",16,"npp",-0.218810841799706,-0.222406811014163,0.0769230769230769,"Micronycteris_megalotis","SP229"
"Micronycteris minuta","mammal","Chiroptera","Phyllostomidae",6,"npp",0.317703118932602,0.329090282946801,0.333333333333333,"Micronycteris_minuta","SP230"
"Microtus agrestis","mammal","Rodentia","Cricetidae",6,"npp",0.633061613297557,0.74650893603492,0.333333333333333,"Microtus_agrestis","SP231"
"Microtus californicus","mammal","Rodentia","Cricetidae",132,"npp",-0.437295837638638,-0.468882356529514,0.00775193798449612,"Microtus_californicus","SP232"
"Microtus canicaudus","mammal","Rodentia","Cricetidae",5,"npp",-0.44674282818103,-0.480623520665317,0.5,"Microtus_canicaudus","SP233"
"Microtus chrotorrhinus","mammal","Rodentia","Cricetidae",6,"npp",0.0895626422683581,0.089803276065919,0.333333333333333,"Microtus_chrotorrhinus","SP234"
"Microtus gregalis","mammal","Rodentia","Cricetidae",30,"npp",0.0858520212568092,0.0860638850812609,0.037037037037037,"Microtus_gregalis","SP235"
"Microtus ilaeus","mammal","Rodentia","Cricetidae",5,"npp",0.424580844680206,0.453267082172711,0.5,"Microtus_ilaeus","SP236"
"Microtus longicaudus","mammal","Rodentia","Cricetidae",508,"npp",0.0362637039424366,0.0362796127667772,0.00198019801980198,"Microtus_longicaudus","SP237"
"Microtus mexicanus","mammal","Rodentia","Cricetidae",24,"npp",0.401662224894286,0.425629339505081,0.0476190476190476,"Microtus_mexicanus","SP238"
"Microtus miurus","mammal","Rodentia","Cricetidae",93,"npp",0.101861088758997,0.102215591046373,0.0111111111111111,"Microtus_miurus","SP239"
"Microtus montanus","mammal","Rodentia","Cricetidae",195,"npp",-0.0489474322250149,-0.0489865787674772,0.00520833333333333,"Microtus_montanus","SP240"
"Microtus ochrogaster","mammal","Rodentia","Cricetidae",80,"npp",-0.268591685606351,-0.275345390878502,0.012987012987013,"Microtus_ochrogaster","SP241"
"Microtus oeconomus","mammal","Rodentia","Cricetidae",452,"npp",-0.229722147876736,-0.233896115070733,0.0022271714922049,"Microtus_oeconomus","SP242"
"Microtus oregoni","mammal","Rodentia","Cricetidae",99,"npp",-0.061912507129005,-0.0619917963844774,0.0104166666666667,"Microtus_oregoni","SP243"
"Microtus pennsylvanicus","mammal","Rodentia","Cricetidae",379,"npp",-0.251626601941673,-0.257148608616758,0.00265957446808511,"Microtus_pennsylvanicus","SP244"
"Microtus pinetorum","mammal","Rodentia","Cricetidae",20,"npp",-0.515774374918991,-0.570565380149994,0.0588235294117647,"Microtus_pinetorum","SP245"
"Microtus richardsoni","mammal","Rodentia","Cricetidae",35,"npp",0.185468796718325,0.187640423667607,0.03125,"Microtus_richardsoni","SP246"
"Microtus townsendii","mammal","Rodentia","Cricetidae",40,"npp",0.0968585175215299,0.0971631290754394,0.027027027027027,"Microtus_townsendii","SP247"
"Microtus xanthognathus","mammal","Rodentia","Cricetidae",59,"npp",0.164670717251805,0.166183841100164,0.0178571428571429,"Microtus_xanthognathus","SP248"
"Mimon crenulatum","mammal","Chiroptera","Phyllostomidae",8,"npp",-0.509863185978727,-0.562544877985736,0.2,"Mimon_crenulatum","SP249"
"Miniopterus australis","mammal","Chiroptera","Miniopteridae",12,"npp",-0.210306141069661,-0.213491632861769,0.111111111111111,"Miniopterus_australis","SP250"
"Miniopterus schreibersii","mammal","Chiroptera","Miniopteridae",17,"npp",-0.149212784381919,-0.150335197364835,0.0714285714285714,"Miniopterus_schreibersii","SP251"
"Molossops temminckii","mammal","Chiroptera","Molossidae",23,"npp",0.462230759417917,0.50014445936798,0.05,"Molossops_temminckii","SP252"
"Molossus molossus","mammal","Chiroptera","Molossidae",60,"npp",0.170090131431273,0.171759478713923,0.0175438596491228,"Molossus_molossus","SP253"
"Molossus rufus","mammal","Chiroptera","Molossidae",14,"npp",-0.0827157834299165,-0.0829052060422483,0.0909090909090909,"Molossus_rufus","SP254"
