"","species","lat.rng"
"550","Crotalus mitchellii",3.91666651000001
"551","Crotalus scutulatus",5.99999976
"552","Crotalus viridis",6.74999973
"553","Crotaphytus bicinctores",7.4999997
"554","Crotophaga ani",45.99999816
"555","Crotophaga sulcirostris",58.41666433
"556","Cryptobranchus alleganiensis",4.91666647
"557","Cryptotis goodwini",1.08333329
"558","Cryptotis magna",0.249999990000003
"559","Cryptotis parva",29.83333214
"560","Crypturellus obsoletus",14.83333274
"561","Ctenomys opimus",4.58333315
"562","Cuculus canorus",79.9999968
"563","Culicicapa ceylonensis",24.66666568
"564","Cuniculus paca",27.33333224
"565","Cyanerpes caeruleus",21.24999915
"566","Cyanerpes cyaneus",15.49999938
"567","Cyanistes caeruleus",9.08333297
"568","Cyanocitta cristata",20.16666586
"569","Cyanocitta stelleri",41.74999833
"570","Cyanocompsa cyanoides",28.74999885
"571","Cyanocompsa parellina",4.9999998
"572","Cyanocorax chrysops",6.58333307
"573","Cyanocorax cyanomelas",5.66666644
"574","Cyanocorax melanocyaneus",0.666666640000001
"575","Cyanocorax yncas",40.41666505
"576","Cyanoderma ruficeps",7.16666638
"577","Cyanolyca viridicyanus",8.41666633
"578","Nectarinia olivacea",21.33333248
"579","Cyclarhis gujanensis",54.1666645
"580","Cygnus olor",6.24999975
"581","Cylindrophis ruffus",14.83333274
"582","Cynanthus latirostris",16.58333267
"583","Cynomys gunnisoni",10.49999958
"584","Cynomys ludovicianus",7.16666638
"585","Cynopterus brachyotis",26.83333226
"586","Cynopterus sphinx",29.49999882
"587","Cyornis hainanus",10.58333291
"588","Cyornis herioti",2.4999999
"589","Cyphorhinus arada",21.58333247
"590","Cyrtonyx montezumae",2.83333322
"591","Dacelo gaudichaud",7.08333305000001
"592","Dacnis cayana",37.16666518
"593","Dasypus novemcinctus",63.16666414
"594","Deconychura longicauda",18.83333258
"595","Delichon urbicum",16.41666601
"596","Delphinus capensis",2.41666657
"597","Delphinus delphis",4.9999998
"598","Falcipennis canadensis",21.83333246
"599","Dendragapus obscurus",10.24999959
"600","Dendrelaphis cyanochloris",1.83333326
"601","Dendrelaphis proarchos",10.16666626
"602","Dendrelaphis subocularis",3.24999987
"603","Dendrocincla fuliginosa",34.49999862
"604","Dendrocincla homochroa",7.91666635
"605","Dendrocincla merula",15.99999936
"606","Dendrocolaptes certhia",20.8333325
"607","Dendrocolaptes picumnus",29.1666655
"608","Dendrocolaptes platyrostris",4.58333315
"609","Dendrocopos major",9.41666628999999
"610","Dendrocopos medius",4.9999998
"611","Dendrocopos minor",9.24999963
"612","Dendrocygna viduata",29.24999883
"613","Dendroica graciae",4.41666649
"614","Dendroica occidentalis",17.41666597
"615","Dendropicos fuscescens",37.74999849
"616","Desmodillus auricularis",5.74999977
"617","Desmodus rotundus",47.66666476
"618","Diadophis punctatus",20.16666586
"619","Dicaeum australe",7.99999968
"620","Dicaeum hypoleucum",8.66666632
"621","Dicaeum trigonostigma",11.33333288
"622","Dicrostonyx groenlandicus",23.83333238
"623","Dicrostonyx torquatus",12.24999951
"624","Dicrurus adsimilis",19.83333254
"625","Dicrurus hottentottus",32.66666536
"626","Didelphis albiventris",36.33333188
"627","Didelphis marsupialis",37.83333182
"628","Didelphis virginiana",33.24999867
"629","Diglossa albilatera",8.66666632000001
"630","Diglossa baritula",8.83333298
"631","Diglossa brunneiventris",8.58333299
"632","Diglossa caerulescens",8.66666632000001
"633","Diglossa cyanea",8.91666631000001
"634","Diglossa humeralis",5.99999975999999
"635","Diglossa mystacalis",7.33333304
"636","Diglossa sittoides",18.24999927
"637","Dinodon septentrionale",10.24999959
"638","Dipodomys agilis",3.16666654
"639","Dipodomys californicus",2.33333324
"640","Dipodomys deserti",9.1666663
"641","Dipodomys heermanni",2.99999988
"642","Dipodomys ingens",0.0833333300000021
"643","Dipodomys merriami",19.08333257
"644","Dipodomys microps",7.4999997
"645","Dipodomys nelsoni",4.74999981
"646","Dipodomys nitratoides",0.333333320000001
"647","Dipodomys ordii",21.49999914
